,Gini,Permutation,SHAP,Gini_rank,Permutation_rank,SHAP_rank
fin17b,0.20990967483966466,0.10867333162734698,0.09149733095311365,2.0,1.0,1.0
age,0.23067529662732397,0.00592704212486504,0.05707814102716009,1.0,7.0,2.0
in_workforce,0.07856331001913293,0.02213273354800732,0.0550835784180096,5.0,3.0,3.0
fin17c,0.06886600872260676,0.04593870788233955,0.03639369645418693,6.0,2.0,4.0
inc_q,0.09047959583118934,0.006705364741441342,0.03189247983142539,3.0,6.0,5.0
con1,0.04367144613027399,-0.0107625173159402,0.024159475757063,8.0,14.0,6.0
fin24b,0.08081636669876477,0.010522779361266835,0.021076691013130783,4.0,5.0,7.0
female,0.03058526735765947,-0.016903485320755154,0.0191022157492061,11.0,15.0,8.0
internet_use,0.034880888223745694,-0.007683446388914922,0.018653020246699573,9.0,12.0,9.0
fin24a,0.04861915735585711,-0.0030524833059284023,0.018011452497458485,7.0,10.0,10.0
borrowed,0.03290475589947179,0.012505412944198813,0.013876215571515282,10.0,4.0,11.0
educ,0.022468218200409555,-0.0037618341823432155,0.009442670495029762,13.0,11.0,12.0
is_rural,0.026642186408953772,-0.00850013275109611,0.007665207576943654,12.0,13.0,13.0
fin22a_1,0.000476053533377168,-8.082675713942389e-05,0.0003306209516365872,14.0,8.0,14.0
merchantpay_dig,0.0004417741515691325,-0.000462283464938551,0.0003234590646946969,15.0,9.0,15.0
