female,age,educ,inc_q,in_workforce,is_rural,account,account_fin,account_mob,dig_account,con1,internet_use,anydigpayment,merchantpay_dig,saved,fin17b,fin17c,borrowed,fin22a,fin22a_1,fin24a,fin24b,adoption_tier,adoption_tier_label,cluster
0,22,2,3,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,3,2,Digitally Engaged,1
0,26,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,4,0,Excluded,1
1,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,Excluded,0
0,40,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,0,Excluded,1
0,34,2,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,Excluded,1
0,30,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,Excluded,1
0,20,1,3,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,2,0,Excluded,1
0,30,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Excluded,1
0,40,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0,Excluded,1
1,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,Excluded,0
0,41,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,Excluded,1
0,32,3,4,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,3,Advanced,1
1,45,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Excluded,0
0,38,2,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,Advanced,2
1,35,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,Excluded,0
0,23,2,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,Excluded,1
0,34,1,3,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,2,0,Excluded,1
0,45,1,5,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,3,1,3,Advanced,2
1,40,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,Excluded,0
0,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Excluded,0
0,30,3,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,4,3,Advanced,2
